VCD info: dumpfile ula_or.vcd opened for output.

### Test: or
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       383    0x02    0x01    0x7f    0x7f    0x7f
       384    0x02    0x01    0x80    0x81    0x81
       385    0x02    0x01    0x81    0x81    0x81
       386    0x02    0x01    0x82    0x83    0x83
       387    0x02    0x01    0x83    0x83    0x83
       388    0x02    0x01    0x84    0x85    0x85
       389    0x02    0x01    0x85    0x85    0x85
       390    0x02    0x01    0x86    0x87    0x87
       391    0x02    0x01    0x87    0x87    0x87
       392    0x02    0x01    0x88    0x89    0x89
       393    0x02    0x01    0x89    0x89    0x89
       394    0x02    0x01    0x8a    0x8b    0x8b
       395    0x02    0x01    0x8b    0x8b    0x8b
       396    0x02    0x01    0x8c    0x8d    0x8d
       397    0x02    0x01    0x8d    0x8d    0x8d
       398    0x02    0x01    0x8e    0x8f    0x8f
       399    0x02    0x01    0x8f    0x8f    0x8f
       400    0x02    0x01    0x90    0x91    0x91
       401    0x02    0x01    0x91    0x91    0x91
       402    0x02    0x01    0x92    0x93    0x93
       403    0x02    0x01    0x93    0x93    0x93
       404    0x02    0x01    0x94    0x95    0x95
       405    0x02    0x01    0x95    0x95    0x95
       406    0x02    0x01    0x96    0x97    0x97
       407    0x02    0x01    0x97    0x97    0x97
       408    0x02    0x01    0x98    0x99    0x99
       409    0x02    0x01    0x99    0x99    0x99
       410    0x02    0x01    0x9a    0x9b    0x9b
       411    0x02    0x01    0x9b    0x9b    0x9b
       412    0x02    0x01    0x9c    0x9d    0x9d
       413    0x02    0x01    0x9d    0x9d    0x9d
       414    0x02    0x01    0x9e    0x9f    0x9f
       415    0x02    0x01    0x9f    0x9f    0x9f
       416    0x02    0x01    0xa0    0xa1    0xa1
       417    0x02    0x01    0xa1    0xa1    0xa1
       418    0x02    0x01    0xa2    0xa3    0xa3
       419    0x02    0x01    0xa3    0xa3    0xa3
       420    0x02    0x01    0xa4    0xa5    0xa5
       421    0x02    0x01    0xa5    0xa5    0xa5
       422    0x02    0x01    0xa6    0xa7    0xa7
       423    0x02    0x01    0xa7    0xa7    0xa7
       424    0x02    0x01    0xa8    0xa9    0xa9
       425    0x02    0x01    0xa9    0xa9    0xa9
       426    0x02    0x01    0xaa    0xab    0xab
       427    0x02    0x01    0xab    0xab    0xab
       428    0x02    0x01    0xac    0xad    0xad
       429    0x02    0x01    0xad    0xad    0xad
       430    0x02    0x01    0xae    0xaf    0xaf
       431    0x02    0x01    0xaf    0xaf    0xaf
