VCD info: dumpfile sp.vcd opened for output.

### Test: stack pointer
-------------------------------------------------------------------------------------------------
      TIME     CLK     WE      OP      SP   EXPECTED
      1848    0x00    0x01    0x01    0x72    0x72
      1852    0x01    0x00    0x01    0x73    0x73
      1856    0x00    0x00    0x01    0x73    0x73
      1860    0x01    0x01    0x01    0x73    0x73
      1864    0x00    0x01    0x01    0x73    0x73
      1868    0x01    0x00    0x01    0x74    0x74
      1872    0x00    0x00    0x01    0x74    0x74
      1876    0x01    0x01    0x01    0x74    0x74
      1880    0x00    0x01    0x01    0x74    0x74
      1884    0x01    0x00    0x01    0x75    0x75
      1888    0x00    0x00    0x01    0x75    0x75
      1892    0x01    0x01    0x01    0x75    0x75
      1896    0x00    0x01    0x01    0x75    0x75
      1900    0x01    0x00    0x01    0x76    0x76
      1904    0x00    0x00    0x01    0x76    0x76
      1908    0x01    0x01    0x01    0x76    0x76
      1912    0x00    0x01    0x01    0x76    0x76
      1916    0x01    0x00    0x01    0x77    0x77
      1920    0x00    0x00    0x01    0x77    0x77
      1924    0x01    0x01    0x01    0x77    0x77
      1928    0x00    0x01    0x01    0x77    0x77
      1932    0x01    0x00    0x01    0x78    0x78
      1936    0x00    0x00    0x01    0x78    0x78
      1940    0x01    0x01    0x01    0x78    0x78
      1944    0x00    0x01    0x01    0x78    0x78
      1948    0x01    0x00    0x01    0x79    0x79
      1952    0x00    0x00    0x01    0x79    0x79
      1956    0x01    0x01    0x01    0x79    0x79
      1960    0x00    0x01    0x01    0x79    0x79
      1964    0x01    0x00    0x01    0x7a    0x7a
      1968    0x00    0x00    0x01    0x7a    0x7a
      1972    0x01    0x01    0x01    0x7a    0x7a
      1976    0x00    0x01    0x01    0x7a    0x7a
      1980    0x01    0x00    0x01    0x7b    0x7b
      1984    0x00    0x00    0x01    0x7b    0x7b
      1988    0x01    0x01    0x01    0x7b    0x7b
      1992    0x00    0x01    0x01    0x7b    0x7b
      1996    0x01    0x00    0x01    0x7c    0x7c
      2000    0x00    0x00    0x01    0x7c    0x7c
      2004    0x01    0x01    0x01    0x7c    0x7c
      2008    0x00    0x01    0x01    0x7c    0x7c
      2012    0x01    0x00    0x01    0x7d    0x7d
      2016    0x00    0x00    0x01    0x7d    0x7d
      2020    0x01    0x01    0x01    0x7d    0x7d
      2024    0x00    0x01    0x01    0x7d    0x7d
