VCD info: dumpfile ula_sub.vcd opened for output.

### Test: sub
--------------------------------------------------------------------------------

      TIME   ULA_OP     A       B    RESULT EXPECTED
       518    0x05    0x02    0x06    0xfc    0xfc
       519    0x05    0x02    0x07    0xfb    0xfb
       520    0x05    0x02    0x08    0xfa    0xfa
       521    0x05    0x02    0x09    0xf9    0xf9
       522    0x05    0x02    0x0a    0xf8    0xf8
       523    0x05    0x02    0x0b    0xf7    0xf7
       524    0x05    0x02    0x0c    0xf6    0xf6
       525    0x05    0x02    0x0d    0xf5    0xf5
       526    0x05    0x02    0x0e    0xf4    0xf4
       527    0x05    0x02    0x0f    0xf3    0xf3
       528    0x05    0x02    0x10    0xf2    0xf2
       529    0x05    0x02    0x11    0xf1    0xf1
       530    0x05    0x02    0x12    0xf0    0xf0
       531    0x05    0x02    0x13    0xef    0xef
       532    0x05    0x02    0x14    0xee    0xee
       533    0x05    0x02    0x15    0xed    0xed
       534    0x05    0x02    0x16    0xec    0xec
       535    0x05    0x02    0x17    0xeb    0xeb
       536    0x05    0x02    0x18    0xea    0xea
       537    0x05    0x02    0x19    0xe9    0xe9
       538    0x05    0x02    0x1a    0xe8    0xe8
       539    0x05    0x02    0x1b    0xe7    0xe7
       540    0x05    0x02    0x1c    0xe6    0xe6
       541    0x05    0x02    0x1d    0xe5    0xe5
       542    0x05    0x02    0x1e    0xe4    0xe4
       543    0x05    0x02    0x1f    0xe3    0xe3
       544    0x05    0x02    0x20    0xe2    0xe2
       545    0x05    0x02    0x21    0xe1    0xe1
       546    0x05    0x02    0x22    0xe0    0xe0
       547    0x05    0x02    0x23    0xdf    0xdf
       548    0x05    0x02    0x24    0xde    0xde
       549    0x05    0x02    0x25    0xdd    0xdd
